t_loc_time,t_data_time,x,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,e_loc_time,e_data_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12
2023-02-02 16:16:03.840,2023-02-02 16:16:03.868,41.39620620462933,2.153566120966228,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:00.023,2023-01-19 12:43:00.058,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:07.836,2023-02-02 16:16:07.873,41.39618174483401,2.1535976029428014,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:03.997,2023-01-19 12:43:04.031,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:09.847,2023-02-02 16:16:09.879,41.39612480961011,2.153670883743492,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:05.995,2023-01-19 12:43:06.043,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:10.861,2023-02-02 16:16:10.901,41.39609185905287,2.153713294101289,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:07.005,2023-01-19 12:43:07.055,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:12.867,2023-02-02 16:16:12.898,41.39602324391021,2.153801598525387,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:09.016,2023-01-19 12:43:09.054,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:14.891,2023-02-02 16:16:14.920,41.395960842018376,2.153881881746583,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:11.013,2023-01-19 12:43:11.062,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:15.906,2023-02-02 16:16:15.956,41.39593012165107,2.153921405068263,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:12.021,2023-01-19 12:43:12.062,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:17.892,2023-02-02 16:16:17.924,41.39587349778843,2.153994254559775,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:13.999,2023-01-19 12:43:14.059,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:18.908,2023-02-02 16:16:18.962,41.395844396682406,2.154031564187817,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:15.016,2023-01-19 12:43:15.074,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:19.915,2023-02-02 16:16:19.944,41.39582278361318,2.1540592500172977,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:16.024,2023-01-19 12:43:16.065,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
