dst_timestamp,data,timestamp
2023-02-01 06:18:49.121,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:50.132,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:51.175,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:52.193,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:54.196,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:56.191,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:57.209,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:43.086,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:44.075,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:46.106,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:48.125,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:50.121,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:51.128,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:53.152,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:54.158,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:55.164,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:56.186,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:58.200,"[24, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:22:59.222,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:00.221,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:01.222,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:02.245,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:04.238,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:06.257,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:07.261,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:08.284,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:10.273,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:11.286,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:12.306,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:14.327,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:15.317,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:16.324,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:17.339,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:19.338,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:20.353,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:21.355,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:22.369,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:23.429,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:25.383,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:26.394,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:27.416,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:28.416,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:29.430,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:30.449,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:32.453,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:33.464,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:34.481,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:35.488,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:36.489,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:37.499,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
